# deviation_chirp_bias	 deviation_time_bias
0.00025793	0.00059595
0.00001862	0.00007760
0.00000380	0.00004924
0.00006807	0.00003561
0.00006603	0.00023654
0.00003427	0.00254183
0.00003785	0.00001504
0.00004974	0.00091786
0.00013715	0.00071209
0.00038258	0.00089667
0.00000749	0.00058439
0.00011454	0.00052302
0.00006290	0.00163542
0.00008773	0.00197173
0.00034105	0.00107892
0.00002423	0.00028381
0.00046015	0.00175832
0.00030491	0.00420686
0.00016799	0.00048145
0.00016479	0.00174617
0.00001990	0.00013576
0.00013674	0.00037831
0.00022666	0.00022310
0.00012313	0.00031077
0.00011885	0.00017346
0.00009796	0.00019070
0.00004971	0.00134013
0.00007493	0.00107480
0.00013242	0.00005043
0.00031544	0.00031196
0.00002861	0.00027842
0.00007913	0.00000559
0.00018247	0.00169847
0.00000954	0.00075485
0.00001755	0.00053262
0.00078834	0.00246319
0.00004986	0.00208193
0.00002316	0.00066776
0.00034901	0.00190960
0.00002534	0.00072809
0.00006463	0.00026437
0.00011330	0.00103605
0.00001609	0.00091238
0.00033627	0.00315154
0.00000921	0.00031379
0.00008832	0.00012908
0.00006219	0.00064875
0.00001612	0.00035048
0.00051633	0.00355744
0.00027620	0.00182803
0.00007761	0.00012537
0.00019206	0.00083578
0.00008904	0.00003554
0.00034524	0.00244499
0.00001347	0.00034211
0.00044631	0.00169715
0.00009253	0.00015098
0.00030008	0.00189151
0.00005675	0.00167088
0.00010508	0.00033342
0.00003315	0.00022139
0.00011408	0.00032841
0.00008093	0.00038032
0.00025889	0.01358670
0.00004283	0.00023080
0.00019277	0.00086096
0.00006912	0.00202937
0.00008280	0.00001791
0.00005052	0.00004887
0.00003021	0.00005476
0.00000766	0.00043899
0.00029253	0.00024301
0.00005570	0.00016759
0.00002130	0.00043424
0.00035159	0.00237368
0.00021851	0.00059504
0.00009428	0.00000247
0.00019189	0.00036882
0.00001158	0.00169864
0.00041079	0.00181522
0.00000985	0.00003946
0.00006865	0.00004980
0.00005790	0.00016256
0.00005671	0.00036693
0.00018119	0.00000147
0.00015775	0.00333289
0.00038777	0.00973580
0.00017741	0.00015318
0.00019270	0.00007819
0.00007744	0.00240869
0.00023744	0.00599011
0.00019175	0.00005741
0.00003276	0.00036185
0.00028894	0.00464172
0.00030787	0.00291750
0.00001884	0.00012067
0.00050176	0.00258870
0.00000229	0.00033043
0.00008708	0.00050043
0.00033838	0.00884932
0.00004104	0.00016195
0.00003500	0.00025287
0.00001750	0.00019225
0.00012660	0.00010210
0.00055011	0.00565246
0.00009477	0.00193655
0.00006706	0.00169140
0.00013022	0.00019366
0.00031980	0.00080809
0.00160090	0.00240788
0.00032183	0.00618634
0.00006891	0.00057243
0.00010725	0.00061796
0.00009249	0.00012230
0.00007101	0.00039594
0.00001132	0.00037768
0.00016014	0.00214502
0.00076763	0.00185336
0.00021626	0.00124682
0.00003063	0.00053411
0.00007841	0.00042638
0.00033685	0.00090227
0.00041816	0.00222406
0.00014595	0.00052303
0.00013008	0.00014297
0.00005172	0.00060587
0.00030189	0.00277369
0.00024142	0.00062267
0.00017893	0.00047220
0.00014561	0.00001451
0.00000789	0.00018327
0.00017810	0.00069628
0.00002237	0.00004481
0.00003950	0.00164150
0.00006775	0.00146362
0.00011702	0.00104235
0.00012942	0.00052237
0.00011993	0.00123716
0.00004890	0.00026443
0.00068249	0.00389235
0.00023045	0.00040885
0.00001141	0.00043391
0.00002908	0.00057564
0.00002187	0.00021389
0.00002527	0.00069713
0.00003956	0.00026068
0.00006292	0.00002607
0.00002893	0.00010794
0.00009801	0.00167387
0.00003901	0.00020270
0.00029585	0.00094164
0.00005567	0.00078461
0.00005792	0.00006490
0.00006667	0.00371255
0.00082830	0.00252396
0.00054701	0.00174781
0.00005665	0.00083080
0.00005899	0.00018795
0.00001752	0.00067186
0.00000941	0.00015695
0.00048679	0.00000727
0.00036601	0.00588199
0.00011878	0.00045464
0.00008508	0.00015060
0.00018997	0.00029710
0.00006944	0.00147560
0.00002181	0.00000886
0.00011296	0.00206368
0.00005967	0.00317542
0.00003921	0.00086611
0.00007204	0.00006971
0.00001786	0.00096289
0.00055090	0.00047260
0.00024469	0.00004691
0.00006264	0.00093149
0.00016712	0.00197946
0.00013826	0.00076034
0.00011683	0.00041749
0.00004614	0.00014557
0.00006989	0.00026840
0.00018005	0.00238067
0.00005768	0.00079399
0.00004476	0.00056179
0.00019975	0.00224582
0.00029000	0.00281585
0.00003322	0.00008184
0.00023871	0.00012093
0.00002762	0.00031900
0.00004814	0.00016638
0.00014239	0.00214625
0.00011901	0.00033819
0.00006673	0.00087708
0.00006232	0.00045142
0.00012839	0.00016905
0.00017565	0.00110653
0.00003792	0.00464376
0.00078697	0.00437509
0.00004150	0.00029094
0.00012808	0.00094848
0.00014023	0.00041654
0.00116203	0.00055368
0.00006682	0.00031655
0.00082881	0.00065804
0.00011531	0.00027431
0.00003641	0.00040049
0.00012915	0.00065435
0.00020253	0.00364849
0.00011632	0.00125755
0.00003976	0.00036535
0.00009830	0.00012692
0.00009767	0.00161816
0.00081863	0.00066071
0.00011174	0.00137469
0.00039665	0.00332772
0.00017870	0.00068443
0.00001168	0.00111702
0.00000258	0.00010042
0.00008338	0.00067011
0.00014608	0.00019498
0.00003678	0.00013871
0.00003746	0.00065728
0.00021170	0.00143015
0.00006224	0.00086128
0.00031474	0.00795488
0.00019040	0.00005948
0.00019404	0.00411226
0.00001243	0.00003508
0.00001315	0.00011997
0.00002268	0.00003206
0.00012274	0.00050313
0.00019926	0.00088341
0.00005086	0.00176510
0.00002428	0.00125211
0.00007036	0.00029987
0.00000548	0.00120153
0.00012779	0.00132424
0.00012753	0.00152594
0.00010708	0.00012028
0.00012851	0.00037791
0.00005127	0.00002511
0.00001223	0.00019643
0.00001812	0.00043440
0.00056148	0.00189641
0.00013012	0.00006792
0.00015381	0.00010023
0.00012790	0.00004894
0.00002034	0.00112004
0.00001669	0.00063836
0.00000088	0.00026399
0.00005718	0.00001420
0.00001907	0.00020261
0.00005103	0.00054787
0.00002847	0.00079140
0.00008849	0.00040072
0.00029495	0.00005388
0.00006704	0.00024128
0.00004984	0.00396918
0.00010526	0.00029416
0.00005810	0.00089064
0.00004657	0.00009072
0.00001775	0.00014897
0.00010295	0.00046343
0.00021714	0.00006766
0.00015712	0.00035585
0.00002693	0.00084270
0.00016021	0.00041331
0.00034479	0.00682501
0.00030866	0.00170944
0.00002208	0.00026060
0.00007617	0.00024914
0.00007485	0.00036860
0.00015710	0.00184772
0.00008352	0.00000016
0.00003323	0.00021849
0.00042267	0.00087633
0.00008597	0.00004269
0.00049002	0.00874073
0.00013667	0.00100327
0.00011426	0.01021852
0.00003448	0.00050893
0.00009023	0.00021033
0.00008922	0.00003611
0.00003741	0.00030788
0.00002002	0.00036349
0.00016680	0.00021002
0.00002853	0.00015919
0.00056179	0.00051758
0.00001227	0.00033524
0.00028437	0.00010141
0.00000202	0.00089652
0.00071581	0.00135364
0.00047836	0.00136387
0.00006723	0.00019528
0.00012158	0.00066764
